"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity","Solar"
"1/1/2000","73.125","23.8854999542236","131","30.229","13.445","0","3.64647960342794","0.288417884068855","16.110225612",
"1/2/2000","73.125","23.8854999542236","131","29.457","12.819","0","3.34988635494391","0.296581127756287","16.091546184",
"1/3/2000","73.125","23.8854999542236","131","30.247","12.657","0","2.28934423442703","0.296880997912788","16.291911168",
"1/4/2000","73.125","23.8854999542236","131","28.882","11.432","0","2.19410566861195","0.276458157894828","16.333709688",
"1/5/2000","73.125","23.8854999542236","131","28.615","10.127","0","2.21774557889118","0.333591042651189","16.243701048",
"1/6/2000","73.125","23.8854999542236","131","29.248","11.788","0","2.91207001048391","0.24802672729316","16.422636168",
"1/7/2000","73.125","23.8854999542236","131","29.908","11.34","0","2.21582398896981","0.277848972151127","16.2870192",
"1/8/2000","73.125","23.8854999542236","131","31.13","8.75799999999998","0","2.04798619075273","0.350168770909223","16.481929248",
"1/9/2000","73.125","23.8854999542236","131","31.502","8.18400000000003","0","1.9592616710146","0.354783841662043","16.400589048",
"1/10/2000","73.125","23.8854999542236","131","32.552","12.198","0","2.30583877961949","0.454441428201461","16.210797048",
"1/11/2000","73.125","23.8854999542236","131","32.691","11.524","0","2.91739152102503","0.358857051908041","16.546276188",
"1/12/2000","73.125","23.8854999542236","131","29.948","11.604","0","3.3787080877152","0.358421713436603","16.494136452",
"1/13/2000","73.125","23.8854999542236","131","27.024","11.524","0","3.23047203145336","0.442159200545306","16.593408468",
"1/14/2000","73.125","23.8854999542236","131","25.903","8.28899999999999","0","3.12035596246427","0.268718872139008","16.94312118",
"1/15/2000","73.125","23.8854999542236","131","25.66","8.93599999999998","0","3.42127634582294","0.13136910611111","17.4688857",
"1/16/2000","73.125","23.8854999542236","131","25.298","9.041","0","5.51868768618822","0.178472252836991","17.407629612",
"1/17/2000","73.125","23.8854999542236","131","27.798","10.849","0","5.43347309260844","0.176316994134228","17.133916464",
"1/18/2000","73.125","23.8854999542236","131","31.133","14.042","0","3.84983590156401","0.285080471855262","16.768855872",
"1/19/2000","73.125","23.8854999542236","131","32.53","10.704","0","3.37987322264296","0.282215159819894","17.173410048",
"1/20/2000","73.125","23.8854999542236","131","31.518","8.99900000000002","0","2.85580788963529","0.186671677910541","17.34266322",
"1/21/2000","73.125","23.8854999542236","131","27.076","10.832","0","3.00683017207717","0.598472514452562","15.894507132",
"1/22/2000","73.125","23.8854999542236","131","28.956","10.988","0","3.34516571906331","0.595717924279999","17.00842446",
"1/23/2000","73.125","23.8854999542236","131","30.301","10.33","0","1.39025585269546","0.550118521827069","17.085207312",
